sub,condition,ori_a,ori_b,ori_c,ori_to_report_convt,ori_resp,angle_diff,ori_to_report_de_convt,ori_resp_de,angle_diff_de,loc_a,loc_b,loc_c,cue_probe,block,allerror,allerror_de,pmi_ori,imi_ori,c_ori,abs_angle_diff,abs_angle_diff_de,badtrial,debadtrial
1,1,36,37,140,-50,-56.87746267465799,-6.877462674657991,-21,-31.076034947203993,-10.076034947203993,4,3,3,3,1,-6.877462674657991,-10.076034947203993,54.0,53.0,-50.0,6.877462674657991,10.076034947203993,,True
1,1,10,27,82,80,77.873664804518,-2.1263351954819996,-32,-34.779015443579,-2.7790154435789987,4,3,3,1,1,-2.1263351954819996,-2.7790154435789987,80.0,63.0,8.0,2.1263351954819996,2.7790154435789987,,
1,1,136,165,71,-46,-56.84860707185601,-10.848607071856009,-31,-37.537236704847004,-6.537236704847004,2,1,1,1,1,-10.848607071856009,-6.537236704847004,-46.0,-75.0,19.0,10.848607071856009,6.537236704847004,,
1,1,114,4,85,5,4.1897579930357995,-0.8102420069642005,4,10.440627104521301,6.440627104521301,6,2,2,3,1,-0.8102420069642005,6.440627104521301,-24.0,86.0,5.0,0.8102420069642005,6.440627104521301,,
1,1,42,151,116,48,52.610503960445,4.610503960445001,-55,-57.71926581094699,-2.719265810946993,2,5,5,1,1,4.610503960445001,-2.719265810946993,48.0,-61.0,-26.0,4.610503960445001,2.719265810946993,,
1,1,27,51,53,37,45.355485842823015,8.355485842823015,-78,-70.71100204212459,7.288997957875409,1,2,2,3,1,8.355485842823015,7.288997957875409,63.0,39.0,37.0,8.355485842823015,7.288997957875409,,
1,1,150,50,115,-25,-33.096443844594006,-8.096443844594006,-54,-48.691862096571015,5.308137903428985,6,3,3,3,1,-8.096443844594006,5.308137903428985,-60.0,40.0,-25.0,8.096443844594006,5.308137903428985,,
1,1,74,4,9,16,9.896260889164012,-6.103739110835988,-20,-21.066491991177003,-1.0664919911770028,2,4,4,1,1,-6.103739110835988,-1.0664919911770028,16.0,86.0,81.0,6.103739110835988,1.0664919911770028,,
1,1,49,166,29,41,-9.64539755774195,-50.64539755774195,8,8.35758482186747,0.3575848218674693,6,2,2,1,1,-50.64539755774195,0.3575848218674693,41.0,-76.0,61.0,50.64539755774195,0.3575848218674693,True,
1,1,161,79,18,72,64.28510323482939,-7.714896765170607,32,38.6585444788182,6.6585444788182,4,2,2,3,1,-7.714896765170607,6.6585444788182,-71.0,11.0,72.0,7.714896765170607,6.6585444788182,,
1,1,113,99,34,-23,-32.963659905315296,-9.963659905315296,76,72.825389822682,-3.1746101773180015,5,6,6,1,1,-9.963659905315296,-3.1746101773180015,-23.0,-9.0,56.0,9.963659905315296,3.1746101773180015,,
1,1,102,91,140,-50,-59.044107543078,-9.044107543077999,38,42.8377499027176,4.837749902717597,5,4,4,3,2,-9.044107543077999,4.837749902717597,-12.0,-1.0,-50.0,9.044107543077999,4.837749902717597,,
